experiment;metric_accuracy;metric_f1_score;metric_fpr (false alarm rate);metric_fps;metric_precision;metric_recall (tpr);skip_proc.name;skip_proc.params.scale_factor;skip_proc.params.block_size_orig;skip_proc.params.block_ratio_th;skip_proc.params.motion.name;skip_proc.params.motion.params.diff_frame_th;skip_proc.params.motion.params.impact_plus_one;skip_proc.params.motion.params.mask_th;skip_proc.params.motion.params.max_val;skip_proc.params.motion.params.decay;skip_rate
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__13459cc7e42d__20260331.203239_per_frame;0.982100784778595;0.9553360342979432;0.0073678684420883;25.55086326599121;0.9702536463737488;0.94087016582489;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;15.0;1.0;0.121631
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__1e0e0944f6a0__20260331.203239_per_frame;0.9799818992614746;0.9497796893119812;0.0073503674939274;35.69580841064453;0.9699978828430176;0.9303871393203736;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;10.0;15.0;1.0;0.430364
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__1ee7ba54e8df__20260331.203244_per_frame;0.98204505443573;0.955190658569336;0.0073678684420883;30.66535186767578;0.9702452421188354;0.9405961036682128;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;25.0;1.0;0.32614600000000005
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__2011a2d70770__20260331.203244_per_frame;0.9809437394142152;0.9523111581802368;0.0073678684420883;34.09090805053711;0.97007817029953;0.93518328666687;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;15.0;1.0;0.420214
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__22ca8c8a5f0d__20260331.203241_per_frame;0.9776120185852052;0.943498432636261;0.0073503674939274;42.84976577758789;0.9696290493011476;0.9187393188476562;motion_only_block_skip_proc;0.5;32.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;10.0;35.0;1.0;0.569496
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__241221112e1d__20260331.203242_per_frame;0.9806928038597108;0.9516494870185852;0.0073503674939274;31.323814392089844;0.9701067805290222;0.9338814616203308;motion_only_block_skip_proc;1.0;16.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;10.0;15.0;1.0;0.365926
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__26f88ec77181__20260331.203242_per_frame;0.9817383289337158;0.9543871879577636;0.0073503674939274;29.175094604492188;0.9702655076980592;0.9390202164649964;motion_only_block_skip_proc;1.0;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;15.0;1.0;0.296307
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__2755707421cf__20260331.203244_per_frame;0.979312777519226;0.948013722896576;0.0073503674939274;34.40729141235352;0.9698946475982666;0.9270983338356018;motion_only_block_skip_proc;1.0;32.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;10.0;25.0;1.0;0.425796
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__28bc190bb8e2__20260331.203241_per_frame;0.9808043241500854;0.9519422054290771;0.0073503674939274;37.02985000610352;0.9701237678527832;0.9344295859336852;motion_only_block_skip_proc;0.5;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;15.0;1.0;0.447147
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__2cc92e2a1893__20260331.203244_per_frame;0.9780999422073364;0.9447977542877196;0.0073503674939274;35.42164611816406;0.9697057008743286;0.9211373925209044;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;10.0;25.0;1.0;0.44853000000000004
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__2ee440ef3b41__20260331.203241_per_frame;0.9792011976242064;0.947718858718872;0.0073503674939274;39.086795806884766;0.9698773622512816;0.9265502095222472;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;10.0;35.0;1.0;0.495887
