experiment;Combined_Score;metric_recall (tpr);metric_fpr (false alarm rate);skip_rate;Recall_Drop;recall_retention;FAR_drop;w_FAR;w_R;delta_R;metric_accuracy;metric_f1_score;metric_fps;metric_precision;window_size;persist_thres
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__e2ae72f847e9__20260413.184933_per_frame;0.091709185;0.933059275;0.007262863;0;0.010414541;0.305697282;;0.7;0.3;0.015;0.980595231;0.951376259;24.05537605;0.970426857;10;0.8
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__bb35949353a2__20260413.184936_per_frame;0.091709185;0.933059275;0.007262863;0;0.010414541;0.305697282;;0.7;0.3;0.015;0.980595231;0.951376259;24.05528641;0.970426857;25;0.35
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__2c146f088420__20260413.184935_per_frame;0.065672684;0.93175745;0.007245362;0;0.011716366;0.218908946;;0.7;0.3;0.015;0.980344296;0.950713098;24.05526543;0.970456004;20;0.45
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__ab838d3f38fb__20260413.184933_per_frame;0.065672684;0.93175745;0.007245362;0;0.011716366;0.218908946;;0.7;0.3;0.015;0.980344296;0.950713098;24.05521965;0.970456004;10;0.95
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__c09de6efad4a__20260413.184937_per_frame;0.065672684;0.93175745;0.007245362;0;0.011716366;0.218908946;;0.7;0.3;0.015;0.980344296;0.950713098;24.05528831;0.970456004;30;0.3
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__b5d7a607fb71__20260413.184934_per_frame;0.065672684;0.93175745;0.007245362;0;0.011716366;0.218908946;;0.7;0.3;0.015;0.980344296;0.950713098;24.05529022;0.970456004;15;0.6
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__821b2fcc733a__20260413.184933_per_frame;0.065672684;0.93175745;0.007245362;0;0.011716366;0.218908946;;0.7;0.3;0.015;0.980344296;0.950713098;24.05532837;0.970456004;10;0.9
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__c1a97638c6b0__20260413.184934_per_frame;0.065672684;0.93175745;0.007245362;0;0.011716366;0.218908946;;0.7;0.3;0.015;0.980344296;0.950713098;24.05534172;0.970456004;15;0.65
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__f0fd5d1759d6__20260413.184936_per_frame;0.039636183;0.930455625;0.007227861;0;0.013018191;0.132120609;;0.7;0.3;0.015;0.98009342;0.950048983;24.05519295;0.97048527;25;0.4
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__20803bb70b5d__20260413.184935_per_frame;0.039636183;0.930455625;0.007227861;0;0.013018191;0.132120609;;0.7;0.3;0.015;0.98009342;0.950048983;24.05515862;0.97048527;20;0.5
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__2bbb106eec31__20260413.184934_per_frame;0.039636183;0.930455625;0.007227861;0;0.013018191;0.132120609;;0.7;0.3;0.015;0.98009342;0.950048983;24.05528641;0.97048527;15;0.7
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__48b0fd48117d__20260413.184937_per_frame;0.039636183;0.930455625;0.007227861;0;0.013018191;0.132120609;;0.7;0.3;0.015;0.98009342;0.950048983;24.05528259;0.97048527;30;0.35
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__32bc30016efe__20260413.184936_per_frame;0.013599682;0.9291538;0.00721036;0;0.014320016;0.045332273;;0.7;0.3;0.015;0.979842484;0.949383914;24.05524635;0.970514536;25;0.45
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__9c74b6326004__20260413.184934_per_frame;0.013599682;0.9291538;0.00721036;0;0.014320016;0.045332273;;0.7;0.3;0.015;0.979842484;0.949383914;24.05538559;0.970514536;15;0.75
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__57713dd5c7b4__20260413.184935_per_frame;0.013599682;0.9291538;0.00721036;0;0.014320016;0.045332273;;0.7;0.3;0.015;0.979842484;0.949383914;24.05523682;0.970514536;20;0.55
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__2ef03da82cb6__20260413.184937_per_frame;-0.012436819;0.927851975;0.007192859;0;0.015621841;-0.041456064;;0.7;0.3;0.015;0.979591548;0.948717952;24.05513573;0.970543981;30;0.4
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__bd15022a09d5__20260413.184936_per_frame;-0.012436819;0.927851975;0.007192859;0;0.015621841;-0.041456064;;0.7;0.3;0.015;0.979591548;0.948717952;24.0551281;0.970543981;25;0.5
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__c50067cf199a__20260413.184935_per_frame;-0.012436819;0.927851975;0.007192859;0;0.015621841;-0.041456064;;0.7;0.3;0.015;0.979591548;0.948717952;24.0551796;0.970543981;20;0.6
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__517a16f493c2__20260413.184934_per_frame;-0.012436819;0.927851975;0.007192859;0;0.015621841;-0.041456064;;0.7;0.3;0.015;0.979591548;0.948717952;24.05522728;0.970543981;15;0.85
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__dbb068f6314b__20260413.184934_per_frame;-0.012436819;0.927851975;0.007192859;0;0.015621841;-0.041456064;;0.7;0.3;0.015;0.979591548;0.948717952;24.05514145;0.970543981;15;0.8
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__022a0b918045__20260413.184937_per_frame;-0.038472128;0.92655021;0.007175359;0;0.016923606;-0.128240426;;0.7;0.3;0.015;0.979340613;0.948051035;24.05517197;0.970573485;30;0.45
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__145fad90d500__20260413.184935_per_frame;-0.038472128;0.92655021;0.007175359;0;0.016923606;-0.128240426;;0.7;0.3;0.015;0.979340613;0.948051035;24.05508423;0.970573485;20;0.65
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__423407a3bf21__20260413.184936_per_frame;-0.038472128;0.92655021;0.007175359;0;0.016923606;-0.128240426;;0.7;0.3;0.015;0.979340613;0.948051035;24.05517387;0.970573485;25;0.55
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__9aed27bc171b__20260413.184934_per_frame;-0.038472128;0.92655021;0.007175359;0;0.016923606;-0.128240426;;0.7;0.3;0.015;0.979340613;0.948051035;24.05513763;0.970573485;15;0.9
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__8859588091bd__20260413.184934_per_frame;-0.064508629;0.925248384;0.007157858;0;0.018225431;-0.215028763;;0.7;0.3;0.015;0.979089677;0.947383165;24.05478287;0.970603049;15;0.95
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__ca937eb4694b__20260413.184935_per_frame;-0.064508629;0.925248384;0.007157858;0;0.018225431;-0.215028763;;0.7;0.3;0.015;0.979089677;0.947383165;24.05501175;0.970603049;20;0.7
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__ff3745d6acbc__20260413.184935_per_frame;-0.09054513;0.923946559;0.007140357;0;0.019527256;-0.301817099;;0.7;0.3;0.015;0.978838801;0.946714401;24.05503654;0.970632672;20;0.75
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__a32b478f724f__20260413.184936_per_frame;-0.09054513;0.923946559;0.007140357;0;0.019527256;-0.301817099;;0.7;0.3;0.015;0.978838801;0.946714401;24.05502701;0.970632672;25;0.6
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__dae8a635d59b__20260413.184938_per_frame;-0.09054513;0.923946559;0.007140357;0;0.019527256;-0.301817099;;0.7;0.3;0.015;0.978838801;0.946714401;24.0551033;0.970632672;30;0.5
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__12cbd26d6245__20260413.184938_per_frame;-0.116581631;0.922644734;0.007122856;0;0.020829082;-0.388605436;;0.7;0.3;0.015;0.978587866;0.946044683;24.05503654;0.970662415;30;0.55
1GPU_SV__ds_UFireIndoorVal__mt_temp_baseline_Tpt_method__443d34917631__20260413.184935_per_frame;-0.116581631;0.922644734;0.007122856;0;0.020829082;-0.388605436;;0.7;0.3;0.015;0.978587866;0.946044683;24.05484772;0.970662415;20;0.8
